"","domainID","siteID","plotID","date2","Year","Month","Day","Time","individualCount","family","genus","scientificName","sex","doy"
"1","D18","BARR","BARR_087",2017-07-19,"2017","07","19","16:00Z",17,"Culicidae","Aedes","Aedes nigripes","F",200
"2","D18","BARR","BARR_087",2017-07-19,"2017","07","19","16:00Z",11,"Culicidae","Aedes","Aedes punctor","F",200
"3","D18","BARR","BARR_087",2017-07-19,"2017","07","19","16:00Z",102,"Culicidae","Aedes","Aedes hexodontus","F",200
"4","D18","BARR","BARR_087",2017-07-19,"2017","07","19","16:00Z",70,"Culicidae","Aedes","Aedes sp.","F",200
"5","D18","BARR","BARR_086",2017-07-19,"2017","07","19","16:09Z",118,"Culicidae","Aedes","Aedes sp.","F",200
"6","D18","BARR","BARR_086",2017-07-19,"2017","07","19","16:09Z",72,"Culicidae","Aedes","Aedes hexodontus","F",200
"7","D18","BARR","BARR_086",2017-07-19,"2017","07","19","16:09Z",10,"Culicidae","Aedes","Aedes punctor","F",200
"8","D18","BARR","BARR_046",2017-07-19,"2017","07","19","16:14Z",2,"Culicidae","Aedes","Aedes nigripes","F",200
"9","D18","BARR","BARR_046",2017-07-19,"2017","07","19","16:14Z",54,"Culicidae","Aedes","Aedes sp.","F",200
"10","D18","BARR","BARR_046",2017-07-19,"2017","07","19","16:14Z",144,"Culicidae","Aedes","Aedes hexodontus","F",200
"11","D18","BARR","BARR_047",2017-07-19,"2017","07","19","16:20Z",97,"Culicidae","Aedes","Aedes hexodontus","F",200
"12","D18","BARR","BARR_047",2017-07-19,"2017","07","19","16:20Z",4,"Culicidae","Aedes","Aedes punctor","F",200
"13","D18","BARR","BARR_047",2017-07-19,"2017","07","19","16:20Z",99,"Culicidae","Aedes","Aedes sp.","F",200
"14","D18","BARR","BARR_041",2017-07-19,"2017","07","19","16:26Z",12,"Culicidae","Aedes","Aedes punctor","F",200
"15","D18","BARR","BARR_041",2017-07-19,"2017","07","19","16:26Z",101,"Culicidae","Aedes","Aedes sp.","F",200
"16","D18","BARR","BARR_041",2017-07-19,"2017","07","19","16:26Z",87,"Culicidae","Aedes","Aedes hexodontus","F",200
"17","D18","BARR","BARR_042",2017-07-19,"2017","07","19","16:34Z",40,"Culicidae","Aedes","Aedes sp.","F",200
"18","D18","BARR","BARR_042",2017-07-19,"2017","07","19","16:34Z",158,"Culicidae","Aedes","Aedes hexodontus","F",200
"19","D18","BARR","BARR_042",2017-07-19,"2017","07","19","16:34Z",2,"Culicidae","Aedes","Aedes nigripes","F",200
"20","D18","BARR","BARR_043",2017-07-19,"2017","07","19","16:41Z",115,"Culicidae","Aedes","Aedes hexodontus","F",200
"21","D18","BARR","BARR_043",2017-07-19,"2017","07","19","16:41Z",12,"Culicidae","Aedes","Aedes punctor","F",200
"22","D18","BARR","BARR_043",2017-07-19,"2017","07","19","16:41Z",73,"Culicidae","Aedes","Aedes sp.","F",200
"23","D18","BARR","BARR_048",2017-07-19,"2017","07","19","16:47Z",5,"Culicidae","Aedes","Aedes nigripes","F",200
"24","D18","BARR","BARR_048",2017-07-19,"2017","07","19","16:47Z",125,"Culicidae","Aedes","Aedes hexodontus","F",200
"25","D18","BARR","BARR_048",2017-07-19,"2017","07","19","16:47Z",70,"Culicidae","Aedes","Aedes sp.","F",200
"26","D18","BARR","BARR_045",2017-07-19,"2017","07","19","16:53Z",139,"Culicidae","Aedes","Aedes hexodontus","F",200
"27","D18","BARR","BARR_045",2017-07-19,"2017","07","19","16:53Z",55,"Culicidae","Aedes","Aedes sp.","F",200
"28","D18","BARR","BARR_045",2017-07-19,"2017","07","19","16:53Z",6,"Culicidae","Aedes","Aedes nigripes","F",200
"29","D18","BARR","BARR_050",2017-07-19,"2017","07","19","17:00Z",95,"Culicidae","Aedes","Aedes sp.","F",200
"30","D18","BARR","BARR_050",2017-07-19,"2017","07","19","17:00Z",97,"Culicidae","Aedes","Aedes hexodontus","F",200
